source,source_id,name,address,city,neighborhood,lat,lon,clover_url,slug,category,google_rating,review_count,ordering_status,flags
awardhelper,G7EPHX0ARYG41,16TH STREET DINER,"3147 16th Street,, San Francisco, CA",San Francisco,Mission Dolores,37.764688,-122.4232194,https://16th-street-diner-san-francisco.cloveronline.com,16th-street-diner-san-francisco,restaurants,,,,
awardhelper,7AZ63Z62MYRT1,3 HERMANAS,"12620 San Pablo Ave, Richmond, CA",Richmond,Richmond,37.9424842,-122.3280944,https://3hermanasrichmond.cloveronline.com,3hermanasrichmond,restaurants,,,,awardhelper:possible-inactive
awardhelper,2YN8CR0ZK57V1,5 Star Food & Liquor Inc,"812 Linden Ave, So San Francisco, CA",South San Francisco,South San Francisco,37.6604656,-122.4079573,https://5-star-food-liquor-inc-so-san-francisco.cloveronline.com,5-star-food-liquor-inc-so-san-francisco,restaurants,,,,
awardhelper,9NBSF22HXPNR1,5TH AVENUE DELI MARKET,"4 Embarcadero Sl7, San Francisco, CA",San Francisco,Financial District,37.795195,-122.3960957,https://5th-avenue-deli-market-san-francisco.cloveronline.com,5th-avenue-deli-market-san-francisco,restaurants,,,,
awardhelper,FFTCQMACXD191,A G I,"4945 Junipero Serra Blvd, Colma, CA",Colma,Colma,37.6739356,-122.4650764,https://house-of-bagels-colma.cloveronline.com,house-of-bagels-colma,restaurants,,,,
awardhelper,Y2WWGN9V2QGF1,ALBORZ,"1245 Van Ness Ave, San Francisco, CA",San Francisco,Cathedral Hill,37.7875389,-122.4219446,https://alborz-san-francisco.cloveronline.com,alborz-san-francisco,restaurants,,,,
awardhelper,8GZN85MP97RD1,AMOUR AMOUR CAFE,"305 East 4th Avenue, San Mateo, CA",San Mateo,San Mateo,37.5651182,-122.3213187,https://amour-amour-cafe-san-mateo.cloveronline.com,amour-amour-cafe-san-mateo,restaurants,,,,
awardhelper,M9FZJYYZE8JG1,ANGEL CAFE & DELI,"700 Geary Street, San Francisco, CA",San Francisco,Lower Nob Hill,37.7866055,-122.4149188,https://angel-cafe-deli-san-francisco8.cloveronline.com,angel-cafe-deli-san-francisco8,restaurants,,,,
awardhelper,N4RVR19A4ZXX1,AragonHSAthleticBoosters,"900 Alameda De Las Pulga, San Mateo, CA",San Mateo,San Mateo,37.5246253,-122.339139,https://aragon-hs-athletic-boste-san-mateo.cloveronline.com,aragon-hs-athletic-boste-san-mateo,restaurants,,,,awardhelper:possible-inactive
awardhelper,HHZZ7SQSZDW41,ATLAS PIZZA PARLOR,"637 San Mateo Avenue, San Bruno, CA",San Bruno,San Bruno,37.6272474,-122.4116836,https://atlas-pizza-parlor-inc-san-bruno.cloveronline.com,atlas-pizza-parlor-inc-san-bruno,restaurants,,,,awardhelper:possible-inactive
awardhelper,0X7YAPNN6SMG1,AUTUMNS CAFE & CATERING,"2071 3rd Street, San Francisco, CA",San Francisco,Dogpatch,37.7635132,-122.3886031,https://autumns-cafe-catering-san-francisco.cloveronline.com,autumns-cafe-catering-san-francisco,restaurants,,,,
awardhelper,5VPK4KFYZZTF1,AYDEA,"799 Bryant Street, San Francisco, CA",San Francisco,South of Market,37.7761449,-122.4020965,https://aydea-san-francisco.cloveronline.com,aydea-san-francisco,restaurants,,,,
awardhelper,AK2FQSBB43HX1,BAC LIEU RESTAURANT,"3216 Mission St, San Francisco, CA",San Francisco,Bernal Heights,37.7452173,-122.4204585,https://bac-lieu-restaurant-san-francisco.cloveronline.com,bac-lieu-restaurant-san-francisco,restaurants,,,,awardhelper:possible-inactive
awardhelper,WCVM3C3PWSQF1,Bandb Cafe,"1634 Irving Street, San Francisco, CA",San Francisco,Inner Sunset,37.7637797,-122.475551,https://b-b-cafe-san-francisco.cloveronline.com,b-b-cafe-san-francisco,restaurants,,,,
awardhelper,FZA6WAP1TSXX1,BARISTA COFFEE & BRUNCH,"3313 Sacramento Street, San Francisco, CALIFORNIA",San Francisco,Presidio Heights,37.7879271,-122.4471863,https://barista-cafe-san-francisco.cloveronline.com,barista-cafe-san-francisco,restaurants,,,,
awardhelper,KCCQWV1FJX0B1,Bayside Cafe,"533 Airport Blvd #127, Burlingame, CA",Burlingame,Burlingame,37.589766,-122.3405683,https://bayside-cafe-burlingame.cloveronline.com,bayside-cafe-burlingame,restaurants,,,,awardhelper:paze-confidence-medium
awardhelper,X3AS84GH1XEN1,BELUNA CAFE,"1195 Oak Street, San Francisco, CA",San Francisco,Buena Vista,37.7729317,-122.4387685,https://beluna-cafe-san-francisco.cloveronline.com,beluna-cafe-san-francisco,restaurants,,,,awardhelper:possible-inactive
awardhelper,BTXF1WDPVGMK1,BIG APPLE PIZZA N GRILL,"127 Eddy Street, San Francisco, CA",San Francisco,Tenderloin,37.784222,-122.4096702,https://big-apple-pizza-n-grill-san-francisco.cloveronline.com,big-apple-pizza-n-grill-san-francisco,restaurants,,,,
awardhelper,ZRGP0NXTXS381,BILL'S PLACE,"2315 Clement Street, San Francisco, CA",San Francisco,Outer Richmond,37.7818432,-122.4840406,https://bills-place-san-francisco-2.cloveronline.com,bills-place-san-francisco-2,restaurants,,,,
awardhelper,WD1YZ0RGZBCC1,BIMI POKE @Metreon,"135 4th Street, San Francisco, CA",San Francisco,South of Market,37.7844576,-122.4032817,https://bimi-poke-san-francisco.cloveronline.com,bimi-poke-san-francisco,restaurants,,,,
awardhelper,CVQBWEK4902S1,Black Point Coffee,"Sfo Intl Airport, Term A, San Francisco, CA",San Francisco,San Francisco,37.6227408,-122.395678,https://black-point-coffee-san-francisco.cloveronline.com,black-point-coffee-san-francisco,restaurants,,,,
awardhelper,VAGSD63HYWYB1,BLOWOLOGY DRY BAR,"166 Geary St #1000, San Francisco, CA",San Francisco,Downtown / Union Square,37.7879739,-122.406081,https://blowology-dry-bar-llc-san-francisco.cloveronline.com,blowology-dry-bar-llc-san-francisco,restaurants,,,,
awardhelper,DZDDDT6S3V3H1,Blue Fog Market,"2567 Gough St, San Francisco, CA",San Francisco,Union Street,37.7971897,-122.4272741,https://blue-fog-market-san-francisco.cloveronline.com,blue-fog-market-san-francisco,restaurants,,,,
awardhelper,95V3MWDBR4W01,Breakers,"145 Rockaway Beach Ave, Pacifica, CA",Pacifica,Pacifica,37.6097432,-122.4963458,https://breakers-pacifica.cloveronline.com,breakers-pacifica,restaurants,,,,awardhelper:paze-confidence-medium
awardhelper,5E0170PVYTP01,Broadway Grill,"1400 Broadway, Burlingame, CA",Burlingame,Burlingame,37.5847682,-122.3659953,https://broadway-grill-llc-burlingame.cloveronline.com,broadway-grill-llc-burlingame,restaurants,,,,awardhelper:possible-inactive
awardhelper,YCX762ZA47EA1,CAFFE STELLATO,"1112 Burlingame Ave, Burlingame, CA",Burlingame,Burlingame,37.5794444,-122.345974,https://caffe-stellato-burlingame.cloveronline.com,caffe-stellato-burlingame,restaurants,,,,
awardhelper,5B9RVQJKAWEE1,CAJUN BOWL,"1230 El Camino Real, San Bruno, CA",San Bruno,San Bruno,37.6395028,-122.420902,https://cajun-bowl-san-bruno-2.cloveronline.com,cajun-bowl-san-bruno-2,restaurants,,,,
awardhelper,Q7NZEB7M95K11,CAJUN BOWL SAN MATEO,"168 East 4th Avenue, San Mateo, CA",San Mateo,San Mateo,37.5637196,-122.3222279,https://cajun-bowl-sm-san-mateo.cloveronline.com,cajun-bowl-sm-san-mateo,restaurants,,,,
awardhelper,1GD6TFTY1TYP1,CATCH SEAFOOD,"2362 Market St, San Francisco, CA",San Francisco,Duboce Triangle,37.7635627,-122.4347359,https://catch-french-bistro-san-francisco.cloveronline.com,catch-french-bistro-san-francisco,restaurants,,,,
awardhelper,SQHS47YF73Z71,CHESTER CHICKEN,"695 Harbour Way, Richmond, CA",Richmond,Richmond,37.9421114,-122.3601919,https://chester-chicken-richmond.cloveronline.com,chester-chicken-richmond,restaurants,,,,
awardhelper,PP1VFPTQY9BR1,Clancey's Market Deli,"3960 Irving Street, San Francisco, CA",San Francisco,Outer Sunset,37.7626162,-122.5003352,https://clanceys-market-deli-san-francisco.cloveronline.com,clanceys-market-deli-san-francisco,restaurants,,,,
awardhelper,26C77EW5B2YR1,COBANI GYRO & KEBAB,"8 W  25th Ave, San Mateo, CA",San Mateo,San Mateo,37.5442563,-122.3060636,https://cobani-gyro-kebab-san-mateo.cloveronline.com,cobani-gyro-kebab-san-mateo,restaurants,,,,
awardhelper,18HA72G54M0X1,Coco's Sushi,"3319 Mission Street #b, San Francisco, CA",San Francisco,Bernal Heights,37.7437904,-122.4206338,https://cocos-sushi-san-francisco.cloveronline.com,cocos-sushi-san-francisco,restaurants,,,,
awardhelper,R2WZEYH2F3QX1,Copper Chimney,"489 3rd Street, San Francisco, CA",San Francisco,South of Market,37.7816706,-122.3958433,https://curry-kabab-san-francisco.cloveronline.com,curry-kabab-san-francisco,restaurants,,,,
awardhelper,D15CTDW46VJ11,CORONA HEIGHTS MARKET,"4400 17th St, San Francisco, CA",San Francisco,Buena Vista,37.7621758,-122.4435937,https://corona-heights-market-san-francisco.cloveronline.com,corona-heights-market-san-francisco,restaurants,,,,
awardhelper,4H74HZQ76KPZ1,Creightons Fine Pastries LLC,"673 Portola Dr, San Francisco, CA",San Francisco,Miraloma Park,37.7445524,-122.4524872,https://creightons-fine-pastries-llc-san-francisco-2.cloveronline.com,creightons-fine-pastries-llc-san-francisco-2,restaurants,,,,awardhelper:possible-inactive
awardhelper,4HCF384VVNFTP,Crostini And Java,"899 Hyde St, San Francisco, CA",San Francisco,Lower Nob Hill,37.789091,-122.4170702,https://crostiniandjavasf.cloveronline.com,crostiniandjavasf,restaurants,,,,
awardhelper,K64EGEN7HVTD1,CUMAICA COFFEE,"1398 Mission Street, San Francisco, CA",San Francisco,South of Market,37.7755595,-122.4157924,https://cumaicacoffee.cloveronline.com,cumaicacoffee,restaurants,,,,awardhelper:possible-inactive
awardhelper,T2K22R6WCQES1,CURRY HYUGA - Burlingame,"1204 Broadway, Burlingame, CA",Burlingame,Burlingame,37.5862841,-122.3649375,https://curry-hyuga-retail-burlingame.cloveronline.com,curry-hyuga-retail-burlingame,restaurants,,,,awardhelper:possible-inactive;awardhelper:paze-confidence-medium
awardhelper,4YPXEDV59JSW1,DE AFGHANAN KABOB HOUSE,"321 Kearny Street, San Francisco, CA",San Francisco,Chinatown,37.7910851,-122.4043736,https://de-afghanan-kabob-house-san-francisco.cloveronline.com,de-afghanan-kabob-house-san-francisco,restaurants,,,,
awardhelper,QVWPTXB484SW1,DHGS,"260 El Camino Real, San Bruno, CA",San Bruno,San Bruno,37.619043,-122.4092815,https://diamondheadgeneralstore.cloveronline.com,diamondheadgeneralstore,restaurants,,,,awardhelper:possible-inactive
awardhelper,X2KBWMQA37ME1,DO-RE-MI (CHINATOWN),"956 Grant Ave, San Francisco, CA",San Francisco,Chinatown,37.7958973,-122.4065336,https://doremi-chinatown-san-francisco.cloveronline.com,doremi-chinatown-san-francisco,restaurants,,,,
awardhelper,GXDVTF4A1FRB1,DOPPIO COFFEE & BRUNCH,"1551 Mission Street, San Francisco, CALIFORNIA",San Francisco,South of Market,37.7734255,-122.4181282,https://doppio-cafe-san-francisco.cloveronline.com,doppio-cafe-san-francisco,restaurants,,,,
awardhelper,XBW4FX1FSVNZW,Dragoneats,"520 Gough St, San Francisco, CA",San Francisco,Civic Center,37.7782815,-122.4230669,https://dragoneats-gough-san-francisco.cloveronline.com,dragoneats-gough-san-francisco,restaurants,,,,
awardhelper,XTY7TAPG8EYR2,DRAGONEATS Folsom,"555 Folsom St, San Francisco, CA",San Francisco,Rincon Hill,37.7864628,-122.3954541,https://dragoneats-folsom-san-francisco.cloveronline.com,dragoneats-folsom-san-francisco,restaurants,,,,awardhelper:possible-inactive
awardhelper,WSNJPF86F22M1,DUMPLING  DOUGH,"1195 Laurel St, San Carlos, CA",San Carlos,San Carlos,37.4990358,-122.2520826,https://dumpling-dough-san-carlos.cloveronline.com,dumpling-dough-san-carlos,restaurants,,,,coords-outside-area(recovered-by-city+slug)
awardhelper,3PZGHHV1W4QC1,Dumpling House,"12221 San Pablo Ave #6, Richmond, CA",Richmond,Richmond,37.934492,-122.3251191,https://dumplinghousemongolia.cloveronline.com,dumplinghousemongolia,restaurants,,,,awardhelper:possible-inactive
awardhelper,3VTWCBZGFCDM1,EASY MONEY,"2312 Irving Street, San Francisco, CA",San Francisco,Outer Sunset,37.7636355,-122.4827977,https://easymoney-sanfrancisco.cloveronline.com,easymoney-sanfrancisco,restaurants,,,,
awardhelper,X5VZ2XY37ZD41,EMBER GRILL,"670 Larkin Street, San Francisco, CALIFORNIA",San Francisco,Tenderloin,37.7840135,-122.4176179,https://ember-grill-san-francisco.cloveronline.com,ember-grill-san-francisco,restaurants,,,,
awardhelper,5GV9BAVA3V3P1,ENSENADA RESTAURANT,"4448 Mission Street, San Francisco, CA",San Francisco,Mission Terrace,37.7266167,-122.4338808,https://ensenada-restaurant-san-francisco-2.cloveronline.com,ensenada-restaurant-san-francisco-2,restaurants,,,,
awardhelper,SJXY3F89KKQP1,Eyebrow Queen Salon Inc San Francisco,"3196 24th Street, San Francisco, CALIFORNIA",San Francisco,Mission,37.7525174,-122.4159588,https://eyebrow-queen-salon-inc-san-francisco-san-francisco.cloveronline.com,eyebrow-queen-salon-inc-san-francisco-san-francisco,restaurants,,,,
awardhelper,C91R3Z2JYM0F1,FLATS BURGERS,"4753 Mission Street, San Francisco, CA",San Francisco,Excelsior,37.7222708,-122.4363769,https://flatsburgers.cloveronline.com,flatsburgers,restaurants,,,,awardhelper:possible-inactive
awardhelper,06EECJM9XXS21,Fondue Chinoise,"430 Broadway, San Francisco, CA",San Francisco,North Beach,37.7984356,-122.4045447,https://fondue-chinoise-san-francisco.cloveronline.com,fondue-chinoise-san-francisco,restaurants,,,,awardhelper:possible-inactive
awardhelper,CTEX6BQBZMQA1,FOOD BASKET MARKET,"475 Fell Street, San Francisco, CA",San Francisco,Hayes Valley,37.7753357,-122.4260063,https://food-basket-market-san-francisco.cloveronline.com,food-basket-market-san-francisco,restaurants,,,,awardhelper:possible-inactive
awardhelper,MZRQNCWA7YSY1,FOOD BASKET MARKET,"475 Fell Street, San Francisco, CA",San Francisco,Hayes Valley,37.775485,-122.425942,https://food-basket-market-san-francisco-2.cloveronline.com,food-basket-market-san-francisco-2,restaurants,,,,
awardhelper,4MRRK45AA7D20,FRIENDS LIQUOR,"1758 Fillmore Street, San Francisco, CA",San Francisco,Japantown,37.7861325,-122.4330301,https://friends-liquor-san-francisco.cloveronline.com,friends-liquor-san-francisco,restaurants,,,,
awardhelper,9ZK8MHR8VDQK8,FUJI SUKIYAKI INC,"428 E 3rd Avenue, San Mateo, CA",San Mateo,San Mateo,37.5662876,-122.3208484,https://fuji-sukiyaki-san-mateo.cloveronline.com,fuji-sukiyaki-san-mateo,restaurants,,,,awardhelper:possible-inactive
awardhelper,QCWDJWK2Q3661,GEORGIAN CHEESE BOAT,"1224 Grant Avenue, San Francisco, CALIFORNIA",San Francisco,North Beach,37.7982871,-122.4067796,https://georgian-cheese-boat-san-francisco.cloveronline.com,georgian-cheese-boat-san-francisco,restaurants,,,,
awardhelper,3VR14WV9NDB01,Guadalajar Grill,"19 Laurie Meadows Dr, San Mateo, CA",San Mateo,San Mateo,37.5309852,-122.2873508,https://guadalajar-grill-san-mateo.cloveronline.com,guadalajar-grill-san-mateo,restaurants,,,,
awardhelper,75NMY7MMVHW61,GUADALAJAR GRILL 2,"390 El Camino Real, Belmont, CALIFORNIA",Belmont,Belmont,37.5268374,-122.2846984,https://guadalajar-grill-2-belmont.cloveronline.com,guadalajar-grill-2-belmont,restaurants,,,,
awardhelper,RZZ9BZJTK95B1,HA MINI MART,"803 Grant Avenue, San Francisco, CA",San Francisco,Chinatown,37.7943981,-122.4066562,https://ha-mini-mart-san-francisco.cloveronline.com,ha-mini-mart-san-francisco,restaurants,,,,
awardhelper,Y9JWSJ229WF51,HAPPY DONUT Van Ness,"2101 Van Ness Ave, San Francisco, CA",San Francisco,Pacific Heights,37.7947783,-122.4234336,https://happy-donut-san-francisco.cloveronline.com,happy-donut-san-francisco,restaurants,,,,
awardhelper,795SJ94T6SH5P,HAWTHORN SF,"46 Geary Street, San Francisco, CA",San Francisco,Downtown / Union Square,37.788119,-122.4043075,https://hawthorn-lounge-san-francisco.cloveronline.com,hawthorn-lounge-san-francisco,restaurants,,,,awardhelper:possible-inactive
