source,source_id,name,address,city,neighborhood,lat,lon,clover_url,slug,category,google_rating,review_count,ordering_status,flags
nextcard,8cb6cceb-e193-4abe-9b38-a61f9c880f10,16th Street Diner,"3147 16th Street,, San Francisco, CA",San Francisco,Mission Dolores,37.7647308,-122.4231086,https://16th-street-diner-san-francisco.cloveronline.com,16th-street-diner-san-francisco,restaurants,,,closed,
nextcard,03b325b4-ceef-46c2-ba16-4bebd7832deb,3 Hermanas,"12620 San Pablo Ave, Richmond, CA",Richmond,Richmond,37.9425753,-122.3281342,https://3hermanasrichmond.cloveronline.com,3hermanasrichmond,restaurants,,,disabled,nextcard:ordering-disabled
nextcard,d95c1848-86d3-4fbf-8161-a94cf124e646,5 Star Food & Liquor Inc,"812 Linden Ave, So San Francisco, CA",South San Francisco,South San Francisco,37.6605342,-122.4080348,https://5-star-food-liquor-inc-so-san-francisco.cloveronline.com,5-star-food-liquor-inc-so-san-francisco,Retail & Services,,,accepting,
nextcard,ebe980de-c56f-4b56-9b06-5439fe708599,5th Avenue Deli Market,"4 Embarcadero Sl7, San Francisco, CA",San Francisco,Financial District,37.7951201,-122.3961487,https://5th-avenue-deli-market-san-francisco.cloveronline.com,5th-avenue-deli-market-san-francisco,restaurants,,,accepting,
nextcard,a90c0402-320b-456c-b060-4c756d9c4fed,A G I,"4945 Junipero Serra Blvd, Colma, CA",Colma,Colma,37.6739529,-122.4651384,https://house-of-bagels-colma.cloveronline.com,house-of-bagels-colma,restaurants,,,disabled,nextcard:ordering-disabled
nextcard,3a1ba960-bab7-47ec-8f96-da933c7ad79b,Alborz,"1245 Van Ness Ave, San Francisco, CA",San Francisco,Cathedral Hill,37.7873909,-122.421977,https://alborz-san-francisco.cloveronline.com,alborz-san-francisco,restaurants,,,closed,
nextcard,339a95cd-1d6a-41f9-bb0f-7a8d86448f59,Amour Amour Cafe,"305 East 4th Avenue, San Mateo, CA",San Mateo,San Mateo,37.5650737,-122.3214029,https://amour-amour-cafe-san-mateo.cloveronline.com,amour-amour-cafe-san-mateo,restaurants,,,closed,
nextcard,2975152a-c9ea-44cf-80bf-82ba0a891bbe,Angel Cafe & Deli,700 Geary St,San Francisco,Lower Nob Hill,37.786609,-122.414982,https://angel-cafe-deli-san-francisco8.cloveronline.com,angel-cafe-deli-san-francisco8,restaurants,,,accepting,
nextcard,6445f505-9d7c-408d-91fd-6bbe7af8ae4a,AragonHSAthleticBoosters,"900 Alameda De Las Pulga, San Mateo, CA",San Mateo,San Mateo,37.5245965,-122.3390936,https://aragon-hs-athletic-boste-san-mateo.cloveronline.com,aragon-hs-athletic-boste-san-mateo,restaurants,,,disabled,nextcard:ordering-disabled
nextcard,4b56df3e-14d1-4092-ad5e-560942ff6a44,Atlas Pizza Parlor,"637 San Mateo Avenue, San Bruno, CA",San Bruno,San Bruno,37.6271117,-122.411641,https://atlas-pizza-parlor-inc-san-bruno.cloveronline.com,atlas-pizza-parlor-inc-san-bruno,restaurants,,,disabled,nextcard:ordering-disabled
