name,address,neighborhood,lat,lon,clover_url,category,google_rating,review_count,sources,verified,notes
16th Street Diner,"3147 16th Street,, San Francisco, CA",Mission Dolores,37.764731,-122.423109,https://16th-street-diner-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
5 Star Food & Liquor Inc,"812 Linden Ave, So San Francisco, CA",South San Francisco,37.660534,-122.408035,https://5-star-food-liquor-inc-so-san-francisco.cloveronline.com,Retail & Services,,,awardhelper+nextcard,,paze-on-storefront=yes
5th Avenue Deli Market,"4 Embarcadero Sl7, San Francisco, CA",Financial District,37.79512,-122.396149,https://5th-avenue-deli-market-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
A G I,"4945 Junipero Serra Blvd, Colma, CA",Colma,37.673953,-122.465138,https://house-of-bagels-colma.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; nextcard:ordering-disabled
Alborz,"1245 Van Ness Ave, San Francisco, CA",Cathedral Hill,37.787391,-122.421977,https://alborz-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Amour Amour Cafe,"305 East 4th Avenue, San Mateo, CA",San Mateo,37.565074,-122.321403,https://amour-amour-cafe-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Angel Cafe & Deli,700 Geary St,Lower Nob Hill,37.786609,-122.414982,https://angel-cafe-deli-san-francisco8.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
AragonHSAthleticBoosters,"900 Alameda De Las Pulga, San Mateo, CA",San Mateo,37.524597,-122.339094,https://aragon-hs-athletic-boste-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Atlas Pizza Parlor,"637 San Mateo Avenue, San Bruno, CA",San Bruno,37.627112,-122.411641,https://atlas-pizza-parlor-inc-san-bruno.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Autumns Cafe & Catering,"2071 3rd Street, San Francisco, CA",Dogpatch,37.763509,-122.388584,https://autumns-cafe-catering-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Aydea,"799 Bryant Street, San Francisco, CA",South of Market,37.776119,-122.402156,https://aydea-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Baba`S Chicken,"3605 Market Street, Riverside, CA",Eureka Valley,37.756078,-122.440782,https://babas-hot-chicken-riverside.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard); coords-in-sf-but-address-says(Riverside); nextcard:ordering-disabled; slug-city-mismatch(riverside); storefront-city(RIVERSIDE)
Bac Lieu Restaurant,"3216 Mission St, San Francisco, CA",Bernal Heights,37.745258,-122.420413,https://bac-lieu-restaurant-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Bandb Cafe,"1634 Irving Street, San Francisco, CA",Inner Sunset,37.763816,-122.475698,https://b-b-cafe-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; nextcard:ordering-disabled
Barista Coffee & Brunch,"3313 Sacramento Street, San Francisco, CALIFORNIA",Presidio Heights,37.787995,-122.447276,https://barista-cafe-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Bayside Cafe,"533 Airport Blvd #127, Burlingame, CA",Burlingame,37.589907,-122.340643,https://bayside-cafe-burlingame.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:paze-confidence-medium
Beluna Cafe,"1195 Oak Street, San Francisco, CA",Buena Vista,37.772835,-122.438913,https://beluna-cafe-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Big Apple Pizza N Grill,"127 Eddy Street, San Francisco, CA",Tenderloin,37.784182,-122.409772,https://big-apple-pizza-n-grill-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; nextcard:ordering-disabled
Bill's Place,2315 Clement St,Outer Richmond,37.781946,-122.484172,https://bills-place-san-francisco-2.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
BIMI POKE @Metreon,"135 4th Street, San Francisco, CA",South of Market,37.784332,-122.403366,https://bimi-poke-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Black Point Coffee,"Sfo Intl Airport, Term A, San Francisco, CA",San Francisco,37.622639,-122.395821,https://black-point-coffee-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Blowology Dry Bar,"166 Geary St #1000, San Francisco, CA",Downtown / Union Square,37.787835,-122.406177,https://blowology-dry-bar-llc-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Blue Fog Market,"2567 Gough St, San Francisco, CA",Pacific Heights,37.79708,-122.427326,https://blue-fog-market-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Blumdmart,"1 Market Street, San Francisco, CA",Financial District,37.794026,-122.394973,https://blumdmart.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard); nextcard:ordering-disabled
Bravo Pizza,"5145 Mission St, San Francisco, CA",Excelsior,37.716521,-122.440784,https://bravo-pizza-san-francisco-2.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
Breakers,"145 Rockaway Beach Ave, Pacifica, CA",Pacifica,37.609728,-122.496484,https://breakers-pacifica.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:paze-confidence-medium; nextcard:ordering-disabled
Broadway Grill,1400 Broadway,Burlingame,37.584778,-122.365839,https://broadway-grill-llc-burlingame.cloveronline.com,restaurants,5,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Caffe Stellato,"1112 Burlingame Ave, Burlingame, CA",Burlingame,37.579556,-122.345906,https://caffe-stellato-burlingame.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Cajun Bowl,"1230 El Camino Real, San Bruno, CA",San Bruno,37.639401,-122.420933,https://cajun-bowl-san-bruno-2.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Cajun Bowl San Mateo,"168 East 4th Avenue, San Mateo, CA",San Mateo,37.563767,-122.322377,https://cajun-bowl-sm-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Catch Seafood,"2362 Market St, San Francisco, CA",Duboce Triangle,37.763429,-122.434641,https://catch-french-bistro-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Chibog,"2055 Gellert Boulevard, Daly City, CALIFORNIA",Daly City,37.650279,-122.453901,https://chibogrestaurant.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
Clancey's Market and Deli,3960 Irving St,Outer Sunset,37.76268,-122.50042,https://clanceys-market-deli-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Cobani Gyro & Kebab,8 W 25th Ave,San Mateo,37.54447,-122.30613,https://cobani-gyro-kebab-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
